Gold;D;20160101;000000;1061.25;0
Gold;D;20160102;000000;1061;0
Gold;D;20160103;000000;1061;0
Gold;D;20160104;000000;1075.14;0
Gold;D;20160105;000000;1078.29;0
Gold;D;20160106;000000;1093.78;0
Gold;D;20160107;000000;1109.21;0
Gold;D;20160108;000000;1104;0
Gold;D;20160109;000000;1103.72;0
Gold;D;20160110;000000;1103.92;0
Gold;D;20160111;000000;1095.03;0
Gold;D;20160112;000000;1089.38;0
Gold;D;20160113;000000;1094.53;0
Gold;D;20160114;000000;1076.85;0
Gold;D;20160115;000000;1088.03;0
Gold;D;20160116;000000;1088.57;0
Gold;D;20160117;000000;1088.32;0
Gold;D;20160118;000000;1088.94;0
Gold;D;20160119;000000;1087.19;0
Gold;D;20160120;000000;1101.53;0
Gold;D;20160121;000000;1102.51;0
Gold;D;20160122;000000;1097.59;0
Gold;D;20160123;000000;1097.6;0
Gold;D;20160124;000000;1097.1;0
Gold;D;20160125;000000;1108.7;0
Gold;D;20160126;000000;1121.52;0
Gold;D;20160127;000000;1125.88;0
Gold;D;20160128;000000;1113.83;0
Gold;D;20160129;000000;1117.7;0
Gold;D;20160130;000000;1117.69;0
Gold;D;20160131;000000;1117.68;0
Gold;D;20160201;000000;1129.51;0
Gold;D;20160202;000000;1129.59;0
Gold;D;20160203;000000;1142.31;0
Gold;D;20160204;000000;1155.74;0
Gold;D;20160205;000000;1174.19;0
Gold;D;20160206;000000;1173.05;0
Gold;D;20160207;000000;1173.05;0
Gold;D;20160208;000000;1190.21;0
Gold;D;20160209;000000;1187.82;0
Gold;D;20160210;000000;1196.5;0
Gold;D;20160211;000000;1244.68;0
Gold;D;20160212;000000;1237.87;0
Gold;D;20160213;000000;1237.36;0
Gold;D;20160214;000000;1237.51;0
Gold;D;20160215;000000;1209.41;0
Gold;D;20160216;000000;1199.78;0
Gold;D;20160217;000000;1207.54;0
Gold;D;20160218;000000;1237.01;0
Gold;D;20160219;000000;1229.03;0
Gold;D;20160220;000000;1225.83;0
Gold;D;20160221;000000;1225.99;0
Gold;D;20160222;000000;1207.31;0
Gold;D;20160223;000000;1225.56;0
Gold;D;20160224;000000;1229.2;0
Gold;D;20160225;000000;1232.51;0
Gold;D;20160226;000000;1224.29;0
Gold;D;20160227;000000;1222.15;0
Gold;D;20160228;000000;1222.37;0
Gold;D;20160229;000000;1240.27;0
Gold;D;20160301;000000;1231.62;0
Gold;D;20160302;000000;1240.86;0
Gold;D;20160303;000000;1262.43;0
Gold;D;20160304;000000;1260.9;0
Gold;D;20160305;000000;1258.59;0
Gold;D;20160306;000000;1259.11;0
Gold;D;20160307;000000;1266.77;0
Gold;D;20160308;000000;1261.33;0
Gold;D;20160309;000000;1250.78;0
Gold;D;20160310;000000;1270.6;0
Gold;D;20160311;000000;1249.26;0
Gold;D;20160312;000000;1250.13;0
Gold;D;20160313;000000;1248;0
Gold;D;20160314;000000;1234.9;0
Gold;D;20160315;000000;1232.38;0
Gold;D;20160316;000000;1262.31;0
Gold;D;20160317;000000;1257.76;0
Gold;D;20160318;000000;1254.88;0
Gold;D;20160319;000000;1254.82;0
Gold;D;20160320;000000;1254.82;0
Gold;D;20160321;000000;1243.59;0
Gold;D;20160322;000000;1248.06;0
Gold;D;20160323;000000;1219.89;0
Gold;D;20160324;000000;1216.81;0
Gold;D;20160325;000000;1216.72;0
Gold;D;20160326;000000;1216.72;0
Gold;D;20160327;000000;1216.58;0
Gold;D;20160328;000000;1221.22;0
Gold;D;20160329;000000;1241.8;0
Gold;D;20160330;000000;1224.77;0
Gold;D;20160331;000000;1232.38;0
Gold;D;20160401;000000;1221.84;0
Gold;D;20160402;000000;1221.74;0
Gold;D;20160403;000000;1221.74;0
Gold;D;20160404;000000;1215.39;0
Gold;D;20160405;000000;1231.04;0
Gold;D;20160406;000000;1222.06;0
Gold;D;20160407;000000;1240.21;0
Gold;D;20160408;000000;1239.35;0
Gold;D;20160409;000000;1239.12;0
Gold;D;20160410;000000;1239.12;0
Gold;D;20160411;000000;1257.74;0
Gold;D;20160412;000000;1255.26;0
Gold;D;20160413;000000;1242.29;0
Gold;D;20160414;000000;1227.63;0
Gold;D;20160415;000000;1233.89;0
Gold;D;20160416;000000;1233.74;0
Gold;D;20160417;000000;1233.74;0
Gold;D;20160418;000000;1232.07;0
Gold;D;20160419;000000;1249.98;0
Gold;D;20160420;000000;1244.06;0
Gold;D;20160421;000000;1247.7;0
Gold;D;20160422;000000;1232.26;0
Gold;D;20160423;000000;1232.01;0
Gold;D;20160424;000000;1231.82;0
Gold;D;20160425;000000;1237.54;0
Gold;D;20160426;000000;1243.21;0
Gold;D;20160427;000000;1245.22;0
Gold;D;20160428;000000;1265.65;0
Gold;D;20160429;000000;1292.84;0
Gold;D;20160430;000000;1292.52;0
Gold;D;20160501;000000;1292.78;0
Gold;D;20160502;000000;1291.43;0
Gold;D;20160503;000000;1286.27;0
Gold;D;20160504;000000;1279.4;0
Gold;D;20160505;000000;1277.5;0
Gold;D;20160506;000000;1287.49;0
Gold;D;20160507;000000;1288.03;0
Gold;D;20160508;000000;1288.07;0
Gold;D;20160509;000000;1263.6;0
Gold;D;20160510;000000;1265.4;0
Gold;D;20160511;000000;1276.94;0
Gold;D;20160512;000000;1263.3;0
Gold;D;20160513;000000;1272.7;0
Gold;D;20160514;000000;1272.45;0
Gold;D;20160515;000000;1272.84;0
Gold;D;20160516;000000;1274.01;0
Gold;D;20160517;000000;1278.72;0
Gold;D;20160518;000000;1258.3;0
Gold;D;20160519;000000;1254.5;0
Gold;D;20160520;000000;1251.89;0
Gold;D;20160521;000000;1251.9;0
Gold;D;20160522;000000;1251.74;0
Gold;D;20160523;000000;1248.7;0
Gold;D;20160524;000000;1227.06;0
Gold;D;20160525;000000;1224.07;0
Gold;D;20160526;000000;1219.38;0
Gold;D;20160527;000000;1212.67;0
Gold;D;20160528;000000;1212.5;0
Gold;D;20160529;000000;1212.55;0
Gold;D;20160530;000000;1204.99;0
Gold;D;20160531;000000;1215;0
Gold;D;20160601;000000;1212.8;0
Gold;D;20160602;000000;1210.86;0
Gold;D;20160603;000000;1244;0
Gold;D;20160604;000000;1243.82;0
Gold;D;20160605;000000;1244.06;0
Gold;D;20160606;000000;1245;0
Gold;D;20160607;000000;1243.64;0
Gold;D;20160608;000000;1262.5;0
Gold;D;20160609;000000;1269.5;0
Gold;D;20160610;000000;1273.55;0
Gold;D;20160611;000000;1273.38;0
Gold;D;20160612;000000;1273.43;0
Gold;D;20160613;000000;1284;0
Gold;D;20160614;000000;1285.39;0
Gold;D;20160615;000000;1291.36;0
Gold;D;20160616;000000;1278.08;0
Gold;D;20160617;000000;1298.33;0
Gold;D;20160618;000000;1298.18;0
Gold;D;20160619;000000;1298.32;0
Gold;D;20160620;000000;1289.57;0
Gold;D;20160621;000000;1267.7;0
Gold;D;20160622;000000;1265.9;0
Gold;D;20160623;000000;1256.32;0
Gold;D;20160624;000000;1315.18;0
Gold;D;20160625;000000;1315.13;0
Gold;D;20160626;000000;1315.13;0
Gold;D;20160627;000000;1324.3;0
Gold;D;20160628;000000;1311.22;0
Gold;D;20160629;000000;1318.8;0
Gold;D;20160630;000000;1321.75;0
Gold;D;20160701;000000;1340.67;0
Gold;D;20160702;000000;1340.62;0
Gold;D;20160703;000000;1341.24;0
Gold;D;20160704;000000;1350.36;0
Gold;D;20160705;000000;1356;0
Gold;D;20160706;000000;1363.5;0
Gold;D;20160707;000000;1360;0
Gold;D;20160708;000000;1366;0
Gold;D;20160709;000000;1365.85;0
Gold;D;20160710;000000;1366.06;0
Gold;D;20160711;000000;1355.1;0
Gold;D;20160712;000000;1332.8;0
Gold;D;20160713;000000;1342.19;0
Gold;D;20160714;000000;1335.1;0
Gold;D;20160715;000000;1337.2;0
Gold;D;20160716;000000;1337.29;0
Gold;D;20160717;000000;1337.29;0
Gold;D;20160718;000000;1328.72;0
Gold;D;20160719;000000;1331.7;0
Gold;D;20160720;000000;1315.6;0
Gold;D;20160721;000000;1330.74;0
Gold;D;20160722;000000;1321.76;0
Gold;D;20160723;000000;1321.9;0
Gold;D;20160724;000000;1321.74;0
Gold;D;20160725;000000;1315.3;0
Gold;D;20160726;000000;1320.06;0
Gold;D;20160727;000000;1339.78;0
Gold;D;20160728;000000;1335.3;0
Gold;D;20160729;000000;1350.34;0
Gold;D;20160730;000000;1350.57;0
Gold;D;20160731;000000;1350.8;0
Gold;D;20160801;000000;1352.52;0
Gold;D;20160802;000000;1363.6;0
Gold;D;20160803;000000;1357.9;0
Gold;D;20160804;000000;1360.9;0
Gold;D;20160805;000000;1335.5;0
Gold;D;20160806;000000;1335.35;0
Gold;D;20160807;000000;1335.93;0
Gold;D;20160808;000000;1335.1;0
Gold;D;20160809;000000;1340.5;0
Gold;D;20160810;000000;1346.4;0
Gold;D;20160811;000000;1338.3;0
Gold;D;20160812;000000;1335.27;0
Gold;D;20160813;000000;1335.49;0
Gold;D;20160814;000000;1335.49;0
Gold;D;20160815;000000;1339.1;0
Gold;D;20160816;000000;1345.8;0
Gold;D;20160817;000000;1348.4;0
Gold;D;20160818;000000;1351.9;0
Gold;D;20160819;000000;1341.52;0
Gold;D;20160820;000000;1340.9;0
Gold;D;20160821;000000;1340.9;0
Gold;D;20160822;000000;1339;0
Gold;D;20160823;000000;1337.11;0
Gold;D;20160824;000000;1323.8;0
Gold;D;20160825;000000;1321.8;0
Gold;D;20160826;000000;1320.62;0
Gold;D;20160827;000000;1320.59;0
Gold;D;20160828;000000;1320.74;0
Gold;D;20160829;000000;1323.33;0
Gold;D;20160830;000000;1310.9;0
Gold;D;20160831;000000;1308.72;0
Gold;D;20160901;000000;1313.6;0
Gold;D;20160902;000000;1324.73;0
Gold;D;20160903;000000;1327.2;0
Gold;D;20160904;000000;1324.61;0
Gold;D;20160905;000000;1327.4;0
Gold;D;20160906;000000;1349.8;0
Gold;D;20160907;000000;1344.9;0
Gold;D;20160908;000000;1337.77;0
Gold;D;20160909;000000;1327.51;0
Gold;D;20160910;000000;1327.51;0
Gold;D;20160911;000000;1327.74;0
Gold;D;20160912;000000;1327.5;0
Gold;D;20160913;000000;1318.8;0
Gold;D;20160914;000000;1322.7;0
Gold;D;20160915;000000;1314.4;0
Gold;D;20160916;000000;1309.88;0
Gold;D;20160917;000000;1309.85;0
Gold;D;20160918;000000;1309.87;0
Gold;D;20160919;000000;1312.9;0
Gold;D;20160920;000000;1314.6;0
Gold;D;20160921;000000;1334.8;0
Gold;D;20160922;000000;1336.7;0
Gold;D;20160923;000000;1337.34;0
Gold;D;20160924;000000;1337.19;0
Gold;D;20160925;000000;1337.08;0
Gold;D;20160926;000000;1337.6;0
Gold;D;20160927;000000;1325.74;0
Gold;D;20160928;000000;1321.13;0
Gold;D;20160929;000000;1320.13;0
Gold;D;20160930;000000;1315.64;0
Gold;D;20161001;000000;1315.5;0
Gold;D;20161002;000000;1315.56;0
Gold;D;20161003;000000;1311.53;0
Gold;D;20161004;000000;1268.3;0
Gold;D;20161005;000000;1266.53;0
Gold;D;20161006;000000;1253.85;0
Gold;D;20161007;000000;1257.39;0
Gold;D;20161008;000000;1257.29;0
Gold;D;20161009;000000;1256.54;0
Gold;D;20161010;000000;1259.3;0
Gold;D;20161011;000000;1252.3;0
Gold;D;20161012;000000;1255;0
Gold;D;20161013;000000;1257.8;0
Gold;D;20161014;000000;1249.7;0
Gold;D;20161015;000000;1250;0
Gold;D;20161016;000000;1250.36;0
Gold;D;20161017;000000;1255.7;0
Gold;D;20161018;000000;1262.1;0
Gold;D;20161019;000000;1268.9;0
Gold;D;20161020;000000;1265.3;0
Gold;D;20161021;000000;1266.2;0
Gold;D;20161022;000000;1265.71;0
Gold;D;20161023;000000;1265.71;0
Gold;D;20161024;000000;1263.95;0
Gold;D;20161025;000000;1273.5;0
Gold;D;20161026;000000;1266.8;0
Gold;D;20161027;000000;1268.2;0
Gold;D;20161028;000000;1275.53;0
Gold;D;20161029;000000;1275.33;0
Gold;D;20161030;000000;1275.57;0
Gold;D;20161031;000000;1277;0
Gold;D;20161101;000000;1287.7;0
Gold;D;20161102;000000;1296.82;0
Gold;D;20161103;000000;1302.34;0
Gold;D;20161104;000000;1304.43;0
Gold;D;20161105;000000;1303.7;0
Gold;D;20161106;000000;1303.7;0
Gold;D;20161107;000000;1280.68;0
Gold;D;20161108;000000;1275.51;0
Gold;D;20161109;000000;1274.66;0
Gold;D;20161110;000000;1256.14;0
Gold;D;20161111;000000;1227.36;0
Gold;D;20161112;000000;1226.98;0
Gold;D;20161113;000000;1227.1;0
Gold;D;20161114;000000;1218.35;0
Gold;D;20161115;000000;1227.79;0
Gold;D;20161116;000000;1224.79;0
Gold;D;20161117;000000;1218.2;0
Gold;D;20161118;000000;1207.99;0
Gold;D;20161119;000000;1208.2;0
Gold;D;20161120;000000;1208.2;0
Gold;D;20161121;000000;1212.3;0
Gold;D;20161122;000000;1211.89;0
Gold;D;20161123;000000;1187.95;0
Gold;D;20161124;000000;1183.86;0
Gold;D;20161125;000000;1183.8;0
Gold;D;20161126;000000;1183.7;0
Gold;D;20161127;000000;1183.7;0
Gold;D;20161128;000000;1193.2;0
Gold;D;20161129;000000;1188.44;0
Gold;D;20161130;000000;1172.91;0
Gold;D;20161201;000000;1170.37;0
Gold;D;20161202;000000;1175.76;0
Gold;D;20161203;000000;1176.51;0
Gold;D;20161204;000000;1177.03;0
Gold;D;20161205;000000;1169.75;0
Gold;D;20161206;000000;1169.13;0
Gold;D;20161207;000000;1173;0
Gold;D;20161208;000000;1170.72;0
Gold;D;20161209;000000;1158.32;0
Gold;D;20161210;000000;1157.93;0
Gold;D;20161211;000000;1157.93;0
Gold;D;20161212;000000;1162.32;0
Gold;D;20161213;000000;1158.61;0
Gold;D;20161214;000000;1142.49;0
Gold;D;20161215;000000;1126.58;0
Gold;D;20161216;000000;1133.31;0
Gold;D;20161217;000000;1134.71;0
Gold;D;20161218;000000;1134.47;0
Gold;D;20161219;000000;1139.07;0
Gold;D;20161220;000000;1131.24;0
Gold;D;20161221;000000;1131.41;0
Gold;D;20161222;000000;1128.73;0
Gold;D;20161223;000000;1132.06;0
Gold;D;20161224;000000;1133.68;0
Gold;D;20161225;000000;1133.17;0
Gold;D;20161226;000000;1133.17;0
Gold;D;20161227;000000;1138.8;0
Gold;D;20161228;000000;1141.82;0
Gold;D;20161229;000000;1156.89;0
Gold;D;20161230;000000;1150.34;0
Gold;D;20161231;000000;1150.62;0
Gold;D;20170101;000000;1150.62;0
Gold;D;20170102;000000;1150.62;0
Gold;D;20170103;000000;1159.22;0
Gold;D;20170104;000000;1163.55;0
Gold;D;20170105;000000;1181.03;0
Gold;D;20170106;000000;1172.93;0
Gold;D;20170107;000000;1172.13;0
Gold;D;20170108;000000;1172.14;0
Gold;D;20170109;000000;1182.4;0
Gold;D;20170110;000000;1187.15;0
Gold;D;20170111;000000;1190.71;0
Gold;D;20170112;000000;1195.2;0
Gold;D;20170113;000000;1198.09;0
Gold;D;20170114;000000;1197;0
Gold;D;20170115;000000;1197.17;0
Gold;D;20170116;000000;1202.62;0
Gold;D;20170117;000000;1215.6;0
Gold;D;20170118;000000;1205.48;0
Gold;D;20170119;000000;1204.68;0
Gold;D;20170120;000000;1207.38;0
Gold;D;20170121;000000;1209.67;0
Gold;D;20170122;000000;1209.67;0
Gold;D;20170123;000000;1215.35;0
Gold;D;20170124;000000;1209.76;0
Gold;D;20170125;000000;1199.95;0
Gold;D;20170126;000000;1188.9;0
Gold;D;20170127;000000;1190.81;0
Gold;D;20170128;000000;1190.6;0
Gold;D;20170129;000000;1191.09;0
Gold;D;20170130;000000;1195.77;0
Gold;D;20170131;000000;1212.06;0
Gold;D;20170201;000000;1208.79;0
Gold;D;20170202;000000;1215.63;0
Gold;D;20170203;000000;1218.86;0
Gold;D;20170204;000000;1220.2;0
Gold;D;20170205;000000;1220.09;0
Gold;D;20170206;000000;1234.95;0
Gold;D;20170207;000000;1232.89;0
Gold;D;20170208;000000;1240.18;0
Gold;D;20170209;000000;1231.45;0
Gold;D;20170210;000000;1233.91;0
Gold;D;20170211;000000;1233.05;0
Gold;D;20170212;000000;1233.28;0
Gold;D;20170213;000000;1225.86;0
Gold;D;20170214;000000;1227.44;0
Gold;D;20170215;000000;1232.65;0
Gold;D;20170216;000000;1239.38;0
Gold;D;20170217;000000;1235.57;0
Gold;D;20170218;000000;1234.5;0
Gold;D;20170219;000000;1234.39;0
Gold;D;20170220;000000;1237.18;0
Gold;D;20170221;000000;1236.1;0
Gold;D;20170222;000000;1238.02;0
Gold;D;20170223;000000;1248.65;0
