<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20121101;000000;1725.2;1731.2;1720;1721.7;21120
20121102;000000;1721.6;1721.6;1679.4;1683.8;42225
20121106;000000;1687;1724.4;1687;1717.7;29872
20121107;000000;1717.9;1735.3;1703.1;1723.4;58204
20121108;000000;1723.4;1737.7;1715.5;1736;30433
20121109;000000;1735.5;1743.7;1729.2;1733;26341
20121112;000000;1737;1740.1;1727.3;1729.6;22273
20121113;000000;1729.1;1736.7;1721.1;1730.1;30892
20121114;000000;1731.6;1737;1723;1730.1;30316
20121115;000000;1728;1728;1710;1717.1;35706
20121116;000000;1717;1718.9;1707.9;1715.8;28244
20121119;000000;1718;1735.9;1718;1734;30694
20121120;000000;1733.4;1736.8;1724.5;1728.7;23706
20121121;000000;1728.7;1734.8;1724.3;1731.6;16843
20121122;000000;1733.3;1736.3;1731.1;1733.1;5233
20121123;000000;1732.7;1757;1732.5;1753;23209
20121126;000000;1752.6;1759.9;1752;1754.7;49072
20121127;000000;1756;1756;1746.7;1747;23939
20121128;000000;1747;1747;1710.7;1724.5;45196
20121129;000000;1725.9;1733.4;1723.2;1732.4;33272
20121130;000000;1732.5;1735.7;1711.4;1712;34029
20121203;000000;1712.1;1728;1712.1;1719.1;20311
20121204;000000;1718.7;1718.7;1694.5;1697.5;32680
20121205;000000;1700.9;1710;1687.6;1696.8;40384
20121206;000000;1694;1703.4;1682.3;1698.9;69742
20121207;000000;1700;1710;1683;1703.8;27855
20121210;000000;1715.4;1724.8;1715.1;1718.7;6955
20121211;000000;1718;1722.8;1713.9;1717;4643
20121212;000000;1717.5;1733.5;1717;1726.6;16666
20121213;000000;1724;1724;1700.3;1704.6;17851
20121214;000000;1705.3;1710.5;1703.1;1707.5;25980
20121217;000000;1705;1709.9;1697.8;1704.1;42181
20121218;000000;1705;1710;1670.6;1678.2;45214
20121219;000000;1680.3;1687;1672.2;1677.7;34545
20121220;000000;1676.8;1680.7;1643.8;1654.5;46525
20121221;000000;1653.5;1667.3;1651.1;1663.2;22917
20121224;000000;1663.9;1673.3;1663.9;1665;12617
20121225;000000;1666.6;1671.9;1662.8;1668.1;2091
20121226;000000;1668;1675;1660;1667.6;12041
20121227;000000;1666.1;1673.2;1660.2;1671.9;12179
20121228;000000;1670.2;1670.9;1662;1664.2;20547
20130108;000000;1663.8;1670;1654;1667.3;14645
20130109;000000;1669.7;1672.9;1658.9;1663.9;16778
20130110;000000;1665.4;1685.4;1665.2;1682.1;28547
20130111;000000;1681.7;1683.4;1661;1667;32485
20130114;000000;1669.7;1680.2;1661.4;1672.8;27438
20130115;000000;1674.2;1690.7;1674.2;1686.2;33109
20130116;000000;1687.5;1690.5;1679.5;1687.1;23299
20130117;000000;1686.2;1700.8;1672.7;1693.5;51014
20130118;000000;1693.9;1700.8;1690.3;1692.3;28782
20130121;000000;1693;1696.8;1691.4;1695.7;10921
20130122;000000;1695.7;1701.6;1691.9;1699.2;30823
20130123;000000;1698.5;1700.5;1689.3;1691.2;25760
20130124;000000;1691.1;1691.1;1671.5;1674.9;27493
20130125;000000;1674.8;1678.1;1662;1663.2;35252
20130128;000000;1665;1667;1656.5;1659.4;23794
20130129;000000;1660.4;1669.8;1660.4;1667.8;29448
20130130;000000;1668.6;1689;1667;1680.4;38095
20130131;000000;1682.5;1684.1;1662.1;1665.5;30277
20130201;000000;1666.1;1685.8;1665.7;1672.4;37324
20130204;000000;1675.3;1681;1665.4;1676.8;27139
20130205;000000;1678.2;1688.9;1670.1;1675.8;47958
20130206;000000;1676.5;1683;1672.1;1680.7;26963
20130207;000000;1683;1686;1666.4;1675;53612
20130208;000000;1675.1;1679.8;1668.4;1671.2;30080
20130211;000000;1671.6;1672.8;1646.3;1653.5;68514
20130212;000000;1653;1656.7;1642.9;1655.8;46276
20130213;000000;1654.5;1656.9;1643.7;1644.8;31160
20130214;000000;1645;1653;1636.4;1638.6;46753
20130215;000000;1638;1638;1603;1608;79041
20130218;000000;1608.3;1620.2;1608.3;1613;20484
20130219;000000;1614.5;1617;1603.6;1606.6;47711
20130220;000000;1608;1611.1;1565.9;1566.6;66262
20130221;000000;1566.9;1587.5;1565.9;1578.9;65059
20130222;000000;1579.8;1589.7;1570;1578.5;53516
20130225;000000;1578.7;1596;1578.7;1593.2;57684
20130226;000000;1594;1625;1586.6;1616.6;67469
20130227;000000;1616.1;1616.1;1595.5;1596.2;50234
20130228;000000;1599;1605;1576.5;1578.6;77207
20130301;000000;1579;1589.3;1565.9;1577.3;80729
20130304;000000;1579.2;1583.2;1571.2;1572.9;50950
20130305;000000;1574.80005;1587.40002;1573.59998;1577.69995;43512
20130306;000000;1578.5;1586.19995;1570.09998;1581.59998;47015
20130307;000000;1582.90002;1586.40002;1576.09998;1577.69995;34321
20130311;000000;1590.59998;1593.69995;1587.40002;1592;9808
20130312;000000;1594;1609.80005;1593;1605.69995;7381
20130313;000000;1605;1609;1597;1600;20296
20130314;000000;1599.7;1604.3;1587.5;1599.3;46088
20130315;000000;1601.69995;1612;1599.19995;1600.5;53487
20130318;000000;1601.59998;1619.40002;1601.59998;1613;48010
20130319;000000;1612.6;1631.4;1608.4;1624.2;85481
20130320;000000;1624.8;1626;1611;1616.6;50227
20130321;000000;1617.4;1626.3;1616.2;1625.1;30274
20130322;000000;1624.5;1624.8;1613;1617.2;27859
20130325;000000;1618;1620.5;1597;1611.4;41886
20130326;000000;1610;1610.4;1601;1607;26287
20130327;000000;1607.1;1614.6;1597.6;1611.6;28361
20130328;000000;1611.8;1612.6;1600.4;1602.4;22987
20130329;000000;1602.5;1610.8;1600;1606.5;6703
20130401;000000;1606.5;1607.6;1601.1;1605;24853
20130402;000000;1604.9;1608;1579.7;1581.6;50824
20130403;000000;1581;1581;1553;1562;96853
20130404;000000;1559;1560.7;1543.5;1556.9;51429
20130405;000000;1556.8;1584.7;1553.2;1582.5;53267
20130408;000000;1582.3;1583.9;1571;1576.7;29007
20130409;000000;1577.2;1593.6;1574.6;1587.1;29618
20130410;000000;1589;1591.8;1560.6;1561.6;49349
20130411;000000;1563.6;1571.2;1557.6;1564.2;30216
20130412;000000;1565;1568;1487.1;1489.9;119075
20130415;000000;1489;1489;1350.9;1362.8;174700
20130416;000000;1365.3;1404.9;1361.8;1370.2;103633
20130417;000000;1372.9;1396.4;1369.6;1370.4;61643
20130418;000000;1370.8;1403.1;1370.8;1388.9;53270
20130419;000000;1391;1426.9;1391;1401.9;60419
20130422;000000;1402.7;1439.3;1402.7;1425.7;56368
20130423;000000;1425.1;1427.5;1404.7;1414.1;96953
20130424;000000;1414.5;1438.7;1414.5;1430.7;58054
20130425;000000;1431.1;1469.3;1431.1;1464;52969
20130426;000000;1468.5;1481.5;1448.7;1456.1;86942
20130429;000000;1463;1478.5;1462.8;1470.8;45463
20130430;000000;1467;1493.6;1460.7;1477;78396
20130502;000000;1472.2;1474.3;1450.7;1467.3;65850
20130503;000000;1470.7;1488.7;1455.8;1471;71104
20130506;000000;1471.6;1482.1;1465.5;1470.7;25331
20130507;000000;1470.1;1470.1;1441.4;1452.7;65348
20130508;000000;1453.8;1477;1450.6;1472.3;52309
20130510;000000;1470.7;1470.7;1421.7;1443.9;102286
20130513;000000;1443.1;1443.1;1428;1434.1;58519
20130514;000000;1437.6;1446.3;1422.4;1428.3;78867
20130515;000000;1427.1;1427.1;1388.7;1394.7;88252
20130516;000000;1396.1;1398;1370.3;1387.2;90828
20130517;000000;1386.5;1388.2;1358.1;1360.6;94700
20130520;000000;1360.1;1399.7;1344.2;1394.6;120983
20130521;000000;1395.7;1399.5;1360.8;1373.2;103861
20130522;000000;1375.3;1416.5;1355.7;1366.4;159305
20130523;000000;1368.1;1399.4;1368.1;1392.7;122384
20130524;000000;1393.4;1395.8;1383.5;1386;50995
20130527;000000;1388.8;1419;1388.8;1397.6;23775
20130528;000000;1397;1404.8;1374.6;1382.2;93543
20130529;000000;1383;1396.9;1383;1394.6;75935
20130530;000000;1396.4;1419.9;1396.4;1415.6;101770
20130531;000000;1417.5;1422.1;1386;1386.8;83778
20130603;000000;1390;1417.5;1390;1412;82717
20130604;000000;1412.3;1412.9;1394.5;1399.9;54454
20130605;000000;1400.3;1412;1396.7;1403.3;66692
20130606;000000;1399.5;1424.8;1392.7;1412.3;104451
20130607;000000;1413.6;1417.8;1379.1;1380.7;87995
20130610;000000;1387.6;1394.3;1383.1;1392.5;2529
20130611;000000;1390;1394.7;1370.2;1382.5;9582
20130613;000000;1389.8;1400;1380.3;1391.7;17167
20130614;000000;1391.8;1398.7;1383.7;1397.3;32577
20130617;000000;1396.2;1396.2;1385.5;1389.7;34864
20130618;000000;1388.1;1388.1;1366.5;1373.2;52829
20130619;000000;1373.8;1379.2;1348.7;1351.8;70138
20130620;000000;1350.3;1350.3;1276.7;1278.2;135742
20130621;000000;1279.5;1302.8;1279.5;1294.9;35121
20130624;000000;1294;1294;1276.7;1284.5;45950
20130625;000000;1282.9;1290.6;1272.8;1277.4;36975
20130626;000000;1276.5;1276.5;1223.9;1227.8;105450
20130627;000000;1232.9;1245;1198.3;1203;77997
20130628;000000;1203.1;1231.8;1188;1230.5;120785
20130701;000000;1231.5;1262.8;1231.5;1253.2;58181
20130702;000000;1256.1;1268.3;1241.1;1243.9;50091
20130703;000000;1246;1262.3;1238.2;1255.6;38682
20130704;000000;1254.4;1258.6;1247;1250.7;38178
20130705;000000;1250.7;1250.7;1209.5;1222.8;79952
20130708;000000;1221;1240.3;1221;1238.1;37345
20130709;000000;1239.6;1264.5;1239.6;1249.5;43053
20130710;000000;1247.7;1267;1246.7;1254.2;62003
20130711;000000;1255.1;1300.5;1255.1;1287;49114
20130712;000000;1287;1288.3;1269.3;1288.3;36543
20130715;000000;1288.5;1295.5;1275.8;1287.7;32676
20130716;000000;1287.5;1296.8;1282.4;1293.9;60141
20130717;000000;1293.1;1301.9;1271.3;1278.4;75764
20130718;000000;1279.4;1290.8;1277.5;1287.1;43626
20130719;000000;1289.1;1300;1288.4;1297.2;37432
20130722;000000;1299.5;1343.5;1299.5;1338;119713
20130723;000000;1337.3;1350.5;1330.1;1347.5;44790
20130724;000000;1346.9;1349.3;1317;1325.1;75967
20130725;000000;1324.1;1337.5;1312.7;1335.2;67263
20130726;000000;1337;1341.8;1311.6;1333.7;57343
20130729;000000;1332.5;1341.7;1326.2;1333.7;47824
20130730;000000;1333.7;1333.7;1320;1328.5;33203
20130731;000000;1329.9;1338.7;1306.1;1326.2;99802
20130801;000000;1325.5;1331.6;1311.4;1315;65219
20130802;000000;1312.7;1321.8;1286.3;1311.9;96443
20130805;000000;1313.7;1320;1301;1306.2;56506
20130806;000000;1305.4;1305.4;1282.5;1287.5;60076
20130807;000000;1287.4;1293;1276;1289;41959
20130808;000000;1291.1;1317.3;1290;1314.4;50418
20130809;000000;1313.3;1320.5;1308;1317.8;25135
20130812;000000;1318.3;1346.7;1318.3;1338.8;54484
20130813;000000;1338.5;1344.2;1322;1325;65536
20130814;000000;1325;1339.4;1322;1338.6;50194
20130815;000000;1339.4;1368.1;1321.4;1367.6;88388
20130816;000000;1367.1;1382.4;1360.8;1374.8;67115
20130819;000000;1376.5;1382.8;1365.5;1370.4;43665
20130820;000000;1368;1380.5;1355.2;1374.9;64185
20130821;000000;1374.6;1383;1363;1373.8;63674
20130822;000000;1372;1384.9;1364.8;1379.6;70710
20130823;000000;1380.1;1403.7;1372.1;1400.1;79147
20130826;000000;1400.3;1406.3;1391.5;1404.7;49999
20130827;000000;1401.2;1424.7;1400.2;1417;62112
20130828;000000;1421.1;1435;1416;1417.7;78915
20130829;000000;1417.1;1417.8;1403.1;1408.9;65195
20130830;000000;1409;1409.4;1393.1;1395.9;54490
20130902;000000;1396.4;1399.3;1388.7;1393.9;34273
20130903;000000;1393.1;1417.6;1385.7;1414.3;82025
20130904;000000;1413.6;1413.6;1386.6;1395.5;57148
20130905;000000;1392.7;1401.4;1366.3;1369.6;96832
20130906;000000;1369.9;1394.3;1359;1392;111044
20130909;000000;1390;1391.4;1382.4;1387.2;33490
20130910;000000;1390.1;1390.1;1364.9;1371.4;5662
20130911;000000;1372.1;1374.5;1365;1371.2;7934
20130912;000000;1368.5;1368.5;1328.3;1328.3;51029
20130913;000000;1325.6;1330.8;1298.4;1329.5;60544
20130916;000000;1330.7;1339.9;1312.3;1313.5;86516
20130917;000000;1315;1329;1309.4;1314.1;88400
20130918;000000;1312.5;1343.8;1298;1343.8;109337
20130919;000000;1343.8;1384.7;1343.8;1370.8;98430
20130920;000000;1369.7;1369.7;1330.5;1334.7;86810
20130923;000000;1330.7;1333.8;1317.9;1321.6;52337
20130924;000000;1326.9;1330;1307.6;1325.2;53917
20130925;000000;1327.9;1342;1319.7;1336.9;66288
20130926;000000;1335.6;1342.1;1320.7;1325;54577
20130927;000000;1325.8;1348.4;1323.6;1340.4;92023
20130930;000000;1340.8;1347;1324.6;1332.6;72422
20131001;000000;1331.7;1340.8;1286;1295.5;117056
20131002;000000;1295.9;1328.1;1289.5;1320.4;69727
20131003;000000;1319.1;1326;1305.2;1322.5;37273
20131004;000000;1323.5;1330;1309.2;1313.5;41764
20131007;000000;1315.5;1333.3;1312.3;1327;37391
20131008;000000;1328.6;1334.5;1319.9;1323.1;30216
20131009;000000;1323.3;1326.6;1295.5;1309.8;57830
20131010;000000;1311.7;1316.3;1288.9;1290.5;78187
20131011;000000;1292;1298.4;1265.2;1273.5;106348
20131014;000000;1274;1296.1;1274;1279.1;73599
20131015;000000;1276.7;1292.3;1255.9;1286.4;138296
20131016;000000;1286.1;1292.8;1272.5;1282.9;85095
20131017;000000;1282.5;1328.9;1277.9;1324.8;110771
20131018;000000;1324;1332.9;1313.3;1319.1;48611
20131021;000000;1320.1;1329.2;1317.5;1321;43147
20131022;000000;1321.5;1349.9;1313.9;1345.8;70316
20131023;000000;1344.2;1344.2;1333.4;1339;43346
20131024;000000;1338.9;1365.5;1338.9;1358.1;106749
20131025;000000;1357;1365;1347.1;1361.5;57091
20131028;000000;1360.8;1369.8;1352.8;1361.8;51084
20131029;000000;1361.9;1362.8;1346.1;1351.6;47818
20131030;000000;1353.4;1368;1340.9;1349;85215
20131031;000000;1346.7;1346.7;1323.6;1330.8;47934
20131101;000000;1331.7;1333.5;1311.9;1320.9;51277
20131105;000000;1321;1325;1310.3;1315.2;26506
20131106;000000;1317;1327.8;1315.2;1322.9;30106
20131107;000000;1323;1333.2;1301;1311.2;55955
20131108;000000;1312.2;1319.7;1285.4;1291.5;56040
20131111;000000;1291.3;1292.8;1282;1286.7;39704
20131112;000000;1286;1289.3;1265.8;1268.3;38680
20131113;000000;1268.3;1283.8;1268.3;1277.7;34497
20131114;000000;1278;1298.5;1278;1288.8;54429
20131115;000000;1289.7;1294.5;1283.4;1292.9;34703
20131118;000000;1292.5;1292.8;1274;1276.9;42468
20131119;000000;1277.9;1283.3;1273;1279.5;47067
20131120;000000;1279;1279.9;1241.1;1248.9;98337
20131121;000000;1249.7;1253.1;1240.3;1247.1;45574
20131122;000000;1247;1252.1;1243.9;1246.2;38499
20131125;000000;1245.6;1255.5;1230;1252.9;65752
20131126;000000;1255;1258.9;1243.6;1245.5;43506
20131127;000000;1247;1264.4;1242.6;1244.9;57380
20131128;000000;1244.9;1250.8;1243.3;1246.6;19418
20131129;000000;1246.4;1259.4;1245.6;1255.1;32929
20131202;000000;1253.4;1253.5;1223.1;1223.5;64703
20131203;000000;1224;1230.8;1217.5;1224.4;50647
20131204;000000;1224.7;1254;1214.2;1249.8;89504
20131205;000000;1248.3;1248.3;1221;1232.1;62702
20131206;000000;1231.1;1248.6;1216;1228.7;61635
20131209;000000;1230.2;1243.3;1230.2;1242.3;21616
20131210;000000;1244.5;1275;1243.2;1269.4;9377
20131211;000000;1267.5;1273;1263;1263.5;21574
20131212;000000;1263;1266.8;1233.3;1238.8;51290
20131213;000000;1237.4;1248.6;1229.2;1246.5;62918
20131216;000000;1247.2;1259.7;1237.5;1250.7;63808
20131217;000000;1251.4;1255;1233.6;1237.4;71185
20131218;000000;1238.4;1260;1227.7;1240;73640
20131219;000000;1238.1;1238.1;1195.3;1201;181853
20131220;000000;1200.9;1212.2;1196.1;1206;91678
20131223;000000;1206.9;1210.8;1197.5;1201.7;68104
20131224;000000;1203.1;1210.8;1201.2;1210.4;38100
20131225;000000;1210.2;1210.9;1205.1;1206.7;6308
20131226;000000;1206.4;1220.5;1204.1;1216.8;44824
20131227;000000;1216.8;1224.7;1214.9;1219.5;25254
20131230;000000;1218.1;1218.1;1204.9;1205.9;24628
20140106;000000;1208.6;1251.1;1208.6;1243;44980
20140108;000000;1242.1;1242.1;1222.8;1226.3;36457
20140109;000000;1228.5;1233.9;1226.1;1231.5;27634
20140110;000000;1232.2;1251.9;1230.1;1249;39873
20140113;000000;1250;1258.6;1246.7;1257.4;27865
20140114;000000;1257;1259.4;1242.1;1246.2;39272
20140115;000000;1244.9;1245.9;1237.1;1242.5;34823
20140116;000000;1244;1248.9;1239.9;1245.1;30974
20140117;000000;1246.2;1258;1241.2;1256.1;41758
20140120;000000;1256.5;1265;1256.5;1260;62733
20140121;000000;1260;1260.5;1241.8;1248.5;48608
20140122;000000;1248.1;1248.5;1242.7;1245;21372
20140123;000000;1244.7;1270.3;1237.3;1267.1;57445
20140124;000000;1267.1;1278.2;1260.9;1269.6;49208
20140127;000000;1269.6;1277;1254.5;1256.4;53626
20140128;000000;1259.1;1264.5;1251.6;1253.5;38781
20140129;000000;1255.4;1270.8;1253.9;1266;46043
20140130;000000;1264.6;1265;1240.5;1246.9;62314
20140131;000000;1246.2;1256.4;1240.1;1242.8;46376
20140203;000000;1243.5;1267.9;1243;1262.8;35809
20140204;000000;1260.4;1262.6;1249.4;1255.5;41312
20140205;000000;1255.7;1275.5;1254.5;1260.1;76809
20140206;000000;1260.6;1269.1;1251.3;1259;58684
20140207;000000;1260;1272.8;1255;1268.2;48643
20140210;000000;1268.8;1280.4;1268.8;1277.9;34368
20140211;000000;1279;1295.3;1279;1293;60174
20140212;000000;1291.2;1297.9;1286.2;1293.2;45705
20140213;000000;1293.1;1303.8;1287.9;1301.5;41360
20140214;000000;1302.9;1322.5;1302.9;1319.8;66810
20140217;000000;1320.9;1331.4;1320.9;1328.6;22196
20140218;000000;1328.5;1328.5;1313.7;1325.4;37272
20140219;000000;1325;1325;1315.5;1318.1;34719
20140220;000000;1317.3;1322.8;1309.3;1322.2;30479
20140221;000000;1320.6;1329.7;1318.3;1328;34271
20140224;000000;1327;1340.4;1325.8;1338.5;40392
20140225;000000;1337.1;1345.2;1332.2;1344.2;41090
20140226;000000;1345.3;1346.5;1323.2;1329.7;48897
20140227;000000;1329.5;1336.7;1324.1;1329.9;39036
20140228;000000;1330.7;1333.8;1313.1;1322.1;31580
20140303;000000;1323.8;1359;1323.8;1349.6;75322
20140304;000000;1349.8;1350.4;1331.1;1337.5;35843
20140305;000000;1337.7;1343.3;1332.2;1339.7;35439
20140306;000000;1341;1352.6;1333;1350.7;30784
20140307;000000;1350.7;1354.4;1321.5;1339.9;50398
20140311;000000;1346;1359;1344;1350;1985
20140312;000000;1355.8;1378;1355.8;1375.5;5805
20140313;000000;1377;1386;1371.5;1379;9444
20140314;000000;1378.2;1405;1375.2;1390.2;58254
20140317;000000;1391.4;1393;1365;1368.4;60806
20140318;000000;1367.3;1368.4;1351.2;1354.9;67986
20140319;000000;1356.2;1361.8;1328.9;1333.6;65199
20140320;000000;1333.9;1338;1321.1;1328.1;56083
20140321;000000;1329.9;1344.9;1329.9;1337.9;42898
20140324;000000;1337.7;1337.7;1306.1;1310;75980
20140325;000000;1312.1;1317.5;1304.8;1310.8;29118
20140326;000000;1311.8;1324.4;1299;1300.1;32984
20140327;000000;1300.5;1305.2;1288.4;1292.9;63017
20140328;000000;1293.1;1298.6;1287;1295.7;66970
20140331;000000;1295.9;1298;1283.7;1284.9;42465
20140401;000000;1286.2;1290.4;1277.8;1280.4;31685
20140402;000000;1282.4;1296.2;1281.5;1291.9;37899
20140403;000000;1292.5;1295.2;1283;1289.3;30862
20140404;000000;1288.9;1309.3;1270;1305.2;53419
20140407;000000;1304.8;1304.8;1297.7;1299.9;31830
20140408;000000;1301.6;1316.7;1301.6;1310.7;39714
20140409;000000;1312;1315.9;1302.7;1312.3;58784
20140410;000000;1313;1324.9;1313;1318.7;60367
20140411;000000;1319.9;1324.6;1313.4;1319.6;29126
20140414;000000;1320.5;1330.2;1319.7;1325.8;46225
20140415;000000;1325.6;1325.6;1290;1302.1;89112
20140416;000000;1299.5;1305.1;1292.7;1300.3;48866
20140417;000000;1300.4;1303.5;1292.3;1292.9;38052
20140418;000000;1293.6;1300.3;1290.1;1298.1;6455
20140421;000000;1298;1298;1282.6;1290.8;39015
20140422;000000;1290.9;1297.8;1276.6;1285.2;35516
20140423;000000;1285.5;1289.8;1281.5;1287;33642
20140424;000000;1287.9;1299.9;1269.6;1294.3;55914
20140425;000000;1293.5;1307;1292.9;1303.5;32086
20140428;000000;1303.9;1306.3;1294.4;1299;32605
20140429;000000;1297;1304.1;1288;1298.4;32952
20140430;000000;1298.1;1299.9;1286.7;1293.8;29551
20140502;000000;1292.3;1307.3;1275.6;1299.6;25434
20140505;000000;1302.9;1317;1302.9;1311.2;34932
20140506;000000;1311;1314.9;1306;1310.3;33253
20140507;000000;1310.9;1316.8;1289.3;1292.9;35277
20140508;000000;1293.4;1298.3;1286.6;1291.5;24039
20140512;000000;1292.2;1306;1290.2;1298.7;27903
20140513;000000;1296.5;1300.4;1288.1;1295.1;31926
20140514;000000;1295.1;1311;1294.3;1308;26990
20140515;000000;1307;1308.7;1290.6;1298.1;46536
20140516;000000;1297.5;1299.1;1288;1293.6;22068
20140519;000000;1295;1306.9;1294.5;1295.6;28109
20140520;000000;1295.6;1297.8;1286.9;1295.6;28750
20140521;000000;1295.7;1296.5;1284.1;1291.5;22578
20140522;000000;1294;1305.4;1292.9;1296;24977
20140523;000000;1297;1297.3;1288.1;1295.5;15954
20140526;000000;1294.5;1299.5;1291.4;1293.3;15060
20140527;000000;1293.2;1293.2;1266.2;1267.7;55457
20140528;000000;1267.1;1268.4;1257.5;1258.7;50074
20140529;000000;1259.2;1261.4;1253.1;1256.7;38886
20140530;000000;1257.8;1260;1243.6;1250.6;40647
20140602;000000;1250.1;1253.1;1242.8;1246.2;34275
20140603;000000;1245.6;1250;1241.2;1247.4;29831
20140604;000000;1247.5;1250.4;1244;1245;22140
20140605;000000;1246.5;1258.6;1242.4;1254.5;39987
20140606;000000;1255.5;1260;1246.9;1254.2;42572
20140609;000000;1254.3;1257.7;1252.8;1253.6;14994
20140610;000000;1254.5;1268.8;1253.1;1267.2;30200
20140611;000000;1267.7;1271.8;1265.1;1266.6;8557
20140613;000000;1266.7;1280.3;1266.7;1279.2;5167
20140616;000000;1279.4;1288.8;1277.7;1278.4;47322
20140617;000000;1277.7;1277.7;1260;1272.1;48381
20140618;000000;1271.5;1278.2;1267.9;1275.9;40260
20140619;000000;1277.8;1322;1277.8;1316.5;79188
20140620;000000;1316.5;1323.7;1311.7;1316.5;79397
20140623;000000;1316.5;1322.7;1313.2;1320.8;28074
20140624;000000;1319.4;1335;1318.1;1323.7;66546
20140625;000000;1323.5;1327.4;1315.3;1322.7;41223
20140626;000000;1322.6;1323.7;1309;1320.5;57999
20140627;000000;1320.5;1326.1;1316.4;1320.5;44010
20140630;000000;1319.6;1332;1312.7;1329.1;52095
20140701;000000;1329.5;1334.3;1326;1330.3;41161
20140702;000000;1329.8;1335.6;1324.8;1330.6;43558
20140703;000000;1329.7;1329.7;1313.2;1322;51217
20140704;000000;1322.5;1327;1315.3;1316.6;16973
20140707;000000;1316.5;1322.1;1313.6;1322;19411
20140708;000000;1321.6;1328.1;1316.3;1321.9;33389
20140709;000000;1322;1336.7;1322;1333;35797
20140710;000000;1333;1348.2;1330.6;1338.7;52156
20140711;000000;1340;1342.2;1336.1;1339.4;21067
20140714;000000;1339;1339;1295;1310.1;76482
20140715;000000;1310.6;1315.7;1295;1296.3;50996
20140716;000000;1296.9;1304.9;1295.7;1298.6;29405
20140717;000000;1301.3;1324.9;1300.4;1319.4;36472
20140718;000000;1317.3;1317.3;1306;1313.3;33837
20140721;000000;1314;1320.2;1311.4;1314.8;21072
20140722;000000;1313;1317.1;1303.1;1307.5;36269
20140723;000000;1306.9;1312.7;1301;1306;18188
20140724;000000;1305.5;1305.5;1287.3;1291.7;88581
20140725;000000;1292.5;1296.7;1291.3;1294.2;22701
20140728;000000;1294.4;1308;1294.4;1305.7;24438
20140729;000000;1305.5;1312.5;1296.8;1300;38995
20140730;000000;1300;1303.4;1291.1;1296.7;27213
20140731;000000;1295.6;1298.8;1280.8;1286.2;62288
20140801;000000;1284.8;1297.2;1280.7;1293.3;31326
20140804;000000;1294;1295.3;1286;1289;15741
20140805;000000;1289.2;1293.9;1282.7;1289.2;24438
20140806;000000;1291.8;1308.7;1288.3;1306.9;53154
20140807;000000;1307.5;1314.8;1302.2;1312.5;41153
20140808;000000;1314;1322.3;1306;1311.6;40278
20140811;000000;1310.5;1311.3;1305.3;1309.1;22236
20140812;000000;1308;1318;1306.3;1308.9;35361
20140813;000000;1309.6;1315.5;1302;1311.5;50625
20140814;000000;1312.4;1319.9;1309.4;1312.9;46982
20140815;000000;1312.7;1315.9;1293;1306.3;57930
20140818;000000;1304.9;1304.9;1295;1297.4;40903
20140819;000000;1299.6;1302.5;1293.3;1295.2;28736
20140820;000000;1295.9;1298.9;1286.8;1290.1;45598
20140821;000000;1289.2;1289.2;1273.1;1277.2;56876
20140822;000000;1278.5;1283.3;1275;1281.1;31099
20140825;000000;1280.5;1281.6;1275.7;1276.8;21794
20140826;000000;1279.3;1291.4;1279.3;1283;36097
20140827;000000;1283.2;1288;1281.2;1283.9;30569
20140828;000000;1284;1296.7;1284;1289.2;48572
20140829;000000;1289;1291.2;1282.8;1286.8;33845
20140901;000000;1287;1290.4;1270;1283.7;22216
20140902;000000;1282.5;1284.9;1262.2;1265.8;40729
20140903;000000;1266.5;1270.7;1260.7;1269.9;38692
20140904;000000;1270.9;1278.1;1260.5;1262;59543
20140905;000000;1263;1274.3;1262;1268.9;25842
20140908;000000;1269.5;1271;1250.2;1254.3;50176
20140909;000000;1254.6;1256.6;1246.8;1255.2;48940
20140910;000000;1259.9;1261.3;1248;1254;4518
20140911;000000;1251.7;1255.4;1239.5;1245;8132
20140912;000000;1244;1245;1230.8;1232;21422
20140915;000000;1234;1240.6;1232.4;1234.3;43829
20140916;000000;1235;1243.9;1231.6;1235.4;64757
20140917;000000;1236.4;1239.7;1223.7;1224.8;35947
20140918;000000;1224.6;1228.6;1216.9;1226.2;44751
20140919;000000;1226;1226.5;1214;1217.7;41132
20140922;000000;1216.5;1221;1211.7;1216.7;36646
20140923;000000;1218.3;1234.8;1216.1;1223;48897
20140924;000000;1223.2;1226.8;1216.6;1218;33927
20140925;000000;1217;1224.6;1207.5;1222.4;65136
20140926;000000;1222.8;1231.7;1212.4;1217.8;42939
20140929;000000;1216.9;1222.7;1215;1215.1;27899
20140930;000000;1216.7;1220;1204.5;1208.7;62973
20141001;000000;1207.6;1219.2;1205.7;1216;46421
20141002;000000;1218;1220;1208.5;1213.3;56528
20141003;000000;1213;1213;1190.3;1191.9;48133
20141006;000000;1191.8;1207.9;1187.2;1206.8;56256
20141007;000000;1206;1213.1;1202.5;1211;50499
20141008;000000;1212;1223.6;1205.3;1222.3;60826
20141009;000000;1224;1233.2;1221.3;1223.1;57118
20141010;000000;1223.1;1224.8;1216.8;1222.4;30719
20141013;000000;1223.3;1236.8;1223.3;1233.5;53015
20141014;000000;1233.5;1238.1;1230.1;1233;31042
